site,date,spec_host,site_spec,year
cha,10vii2020,lyscil,cha_lyscil,2020
cha,9vii2020,lyscil,cha_lyscil,2020
fee,15vii2020,poncor,fee_poncor,2020
fee,17vii2020,poncor,fee_poncor,2020
fee,18vii2020,poncor,fee_poncor,2020
har,28vii2020,cucpep,har_cucpep,2020
har,29vii2020,cucpep,har_cucpep,2020
kan,14viii2020,solcan,kan_solcan,2020
kan,18viii2020,solcan,kan_solcan,2020
kan,19viii2020,solcan,kan_solcan,2020
kan,4vi2020,corser,kan_corser,2020
kan,5vi2020,corser,kan_corser,2020
kan,6vi2020,corser,kan_corser,2020
mee,17vi2020,corser,mee_corser,2020
mee,18vi2020,corser,mee_corser,2020
mee,19vi2020,corser,mee_corser,2020
mil,11viii2020,solcan_cucpep,mil_solcan_cucpep,2020
mil,12viii2020,solcan_cucpep,mil_solcan_cucpep,2020
mil,13viii2020,solcan_cucpep,mil_solcan_cucpep,2020
mud,24vii2020,poncor,mud_poncor,2020
mud,26vii2020,poncor,mud_poncor,2020
mud,29vi2020,lyscil,mud_lyscil,2020
mud,2vii2020,lyscil,mud_lyscil,2020
mud,3vii2020,lyscil,mud_lyscil,2020
nee,30vii2020,cucpep,nee_cucpep,2020
nee,31vii2020,cucpep,nee_cucpep,2020
orl,06viii2020,solcan,orl_solcan,2020
orl,07viii2020,solcan,orl_solcan,2020
orl,1viii2020,solcan,orl_solcan,2020
orl,6viii2020,solcan,orl_solcan,2020
orl,7vii2020,lyscil,orl_lyscil,2020
orl,7viii2020,solcan,orl_solcan,2020
orl,8vii2020,lyscil,orl_lyscil,2020
pet,12vii2020,poncor,pet_poncor,2020
pet,19vii2020,poncor,pet_poncor,2020
pet,20vii2020,poncor,pet_poncor,2020
pet,21vii2020,poncor,pet_poncor,2020
riv,08vi2020,corser,riv_corser,2020
riv,10vi2020,corser,riv_corser,2020
riv,7vi2020,corser,riv_corser,2020
riv,8vi2020,corser,riv_corser,2020
bea,13iv2021,salix,bea_salix_clacar,2021
bea,14iv2021,salix,bea_salix_clacar,2021
bea,19iv2021,salix,bea_salix_clacar,2021
mcc,23iv2021,salix,mcc_salix_clacar,2021
mcc,24iv2021,salix,mcc_salix_clacar,2021
mcc,1v2021,salix,mcc_salix_clacar,2021
mcc,2v2021,salix,mcc_salix_clacar,2021
mon,9v2021,salix,mon_salix,2021
mon,10v2021,salix,mon_salix,2021
mon,12v2021,salix,mon_salix,2021
mon,6v2021,salix,mon_salix,2021
kan,14v2021,vacmyr,kan_vacmyr,2021
kan,15v2021,vacmyr,kan_vacmyr,2021
kan,16v2021,vacmyr,kan_vacmyr,2021
tim,17v2021,vacmyr,tim_vacmyr,2021
tim,18v2021,vacmyr,tim_vacmyr,2021
tim,19v2021,vacmyr,tim_vacmyr,2021
rob,21v2021,vacmyr,rob_vacmyr,2021
rob,23v2021,vacmyr,rob_vacmyr,2021
rob,24v2021,vacmyr,rob_vacmyr,2021